,,Rerun,,,,,,,,,Rerun,Rerun,Rerun,,Rerun,,,,,,,,,,,,,,,,,,Rerun,Rerun,Rerun,,,,Rerun,Rerun,Rerun,,,,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun
FA_id,CapFork Alg1,CapFork Alg1,CapFork Alg2,CapFork Alg3,Diles Alg1,Diles Alg2,Diles Alg3,Hurricane Alg1,Hurricane Alg2,Hurricane Alg3,Hurricane Alg1,Hurricane Alg2,Hurricane Alg3,LickB Alg1,LickB Alg1,LickB Alg2,LickB Alg3,LewisP Alg1,LewisP Alg2,LewisP Alg3,LPiney Alg1,LPiney Alg2,LPiney Alg3,MillC Alg1,MillC Alg2,MillC Alg3,Mulberry Alg1,Mulberry Alg2,Mulberry Alg3,Perry Alg1,Perry Alg2,Perry Alg3,Perry Alg1,Perry Alg2,Perry Alg3,RoastEar Alg1,RoastEar Alg2,RoastEar Alg3,RoastEar Alg1,RoastEar Alg2,RoastEar Alg3,Sylamore Alg1,Sylamore Alg2,Sylamore Alg3,Sylamore Alg1,Sylamore Alg2,Sylamore Alg3,Cove Alg1,Cove Alg2,Cove Agl3,ELivingston Alg1,ELivingston Alg2,ELivingston Alg3,Spring Alg1,Spring Alg2,Spring Alg3
16:3w4,29.69078728,22.21687279,3.9038499,12.91429538,11.22542379,29.35566186,18.49230244,2.386452718,2.586619086,41.14207587,0.407635004,0.674856276,14.78715006,129.4866215,30.64741629,15.36720689,23.70459737,14.77057322,12.42616365,21.44220074,0.902353799,9.949276071,23.22783441,368.0328219,385.6907046,328.0245697,9.924656138,7.206306046,7.78090952,303.8222497,157.1429981,456.8082833,187.4917923,111.9628552,295.178073,144.3876583,293.6437863,237.2714495,131.5560518,317.2516658,247.9512541,48.6286102,320.4926162,5.443499592,24.98734928,198.496442,4.848112633,8.429158645,16.7101356,11.20835784,263.0533485,16.16094987,318.9822177,30.42184167,12.56441208,9.660188658
16:3w3,22.93476489,28.98925767,3.169536483,10.34545257,5.013485642,13.09016776,7.966732908,1.086853467,0.99826237,14.2911173,2.685295586,1.994124184,42.39214359,28.52287094,132.7501004,3.522412031,5.233555075,10.75917866,9.488889387,16.86131247,0.813558346,19.66394039,54.88226776,95.9687159,113.1056776,112.2274793,35.17602753,22.41022643,26.28846982,180.4246111,106.0777406,278.2962723,305.041209,158.1885368,467.8057881,137.0979009,315.9177358,241.9697074,139.2234862,297.7919652,242.1827432,23.66212767,184.8771169,4.875357396,49.2723656,323.0844485,5.30872986,32.29443086,70.0696632,42.01981066,122.9663261,116.3730664,156.3105393,219.0406327,77.38535623,50.95275978
16:4w3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:4w1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA18:0,418.6696012,421.3402341,93.15290204,254.8905886,154.3806978,252.2612695,191.3057156,700.2573762,502.1982764,931.2384084,718.1407767,507.7456249,950.0906575,1014.912226,1042.685825,155.9960091,267.2129225,549.9846449,726.3854351,1088.024489,167.3962293,433.0976354,472.331795,648.282986,1074.882217,649.6216017,897.0120398,637.0571785,679.7784595,1328.595917,739.5521873,1705.415111,1368.512011,754.1997536,1752.874348,561.9618956,1172.497135,719.9121931,560.066997,1178.134322,722.1508112,1147.769674,1160.771621,138.526194,1187.985308,1149.756007,136.2077709,2717.276306,2813.083585,2509.21922,1023.533863,11325.57297,970.0159028,1152.201958,619.186688,325.2831761
Cy19:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:1w9,427.3101676,414.4434749,102.6165535,218.8035427,255.60722,576.3999623,396.6817095,691.3220532,577.301193,1008.253899,694.9412496,584.6386474,1015.914947,1160.523534,1167.328802,146.2257264,247.2449829,543.7409325,643.8878559,1080.006137,253.3478286,654.8448413,784.5962532,1255.344432,2087.588982,1423.972081,1092.291932,684.1036262,766.3261545,1202.734728,678.6918894,1713.435995,1191.757148,680.8361943,1713.247785,774.8349066,1826.367986,981.6049484,754.8328564,1834.508907,1004.582335,2079.801883,2671.217807,196.2962051,2227.922316,2701.722511,208.147807,1651.924311,1814.96912,1383.678694,1449.943246,5686.966475,1584.424847,1131.426066,544.3453656,257.5292647
18:1w7,415.5700988,404.1725594,98.50289979,215.2608113,264.9946912,602.3064834,403.7600498,376.6779746,296.3369835,608.8185861,380.3030766,301.549125,609.040592,471.3424112,476.5345626,56.62018786,96.91292861,208.357425,251.2539423,431.3609865,89.42902123,261.1706692,304.2182927,837.2360792,1255.287321,732.9666641,250.1062479,145.8566675,168.5950242,1286.291701,744.5592429,1842.490397,1319.922677,764.0712495,1913.269021,479.055501,1188.064374,703.9469137,478.6377277,1211.217672,717.7624131,1476.998126,1800.791032,148.994778,1530.348636,1834.358222,149.7517785,668.0194946,729.826463,597.7790847,1580.041619,4641.859382,1703.050455,800.0910632,420.4664927,197.9770428
18:2w6,631.7239987,586.2987593,123.0874133,330.1893404,396.0238714,838.4863357,574.9052344,64.20529043,69.62180317,575.5987161,61.02805548,67.40951598,560.6667881,667.1599411,659.588507,82.68238672,132.2464072,219.5232498,237.9714885,414.4469374,27.09221288,336.0031282,606.1967839,1151.01685,1390.539565,1133.588847,440.1191941,296.4447481,330.3538523,2019.523401,1150.334034,2874.360899,2056.137752,1178.342113,2996.852627,615.82603,1766.179271,1083.200848,603.3731128,1815.713662,1128.070864,1500.666311,3597.019144,204.8819208,1595.19011,3831.865879,205.8679843,477.6696672,739.4235003,477.6236436,3222.777147,3260.250142,3619.738808,1430.467373,689.692769,315.9260522
18:3w6,22.38745138,20.37532974,3.896356906,10.2318725,26.89073579,66.63353283,42.96851634,4.446849397,4.86769525,60.28521559,4.101827224,4.196286768,58.05550495,123.7041182,122.211302,14.61283886,21.81671945,21.60307526,21.68853442,38.3922065,1.09434397,14.96301606,38.64965178,165.1871182,150.6929399,151.3123942,33.12722476,19.8461058,25.29444436,325.7740746,169.738595,475.0987394,321.7244223,166.059526,467.3583303,68.13921435,210.4854785,140.8367214,64.17288948,204.1874599,135.5577505,56.85452607,397.3790897,8.462652342,57.52586854,392.7477493,7.458276919,38.95450682,80.66027617,39.69050172,159.1373439,71.82859951,200.3951617,92.66519954,44.02736134,20.79781793
